n;area;area_diff
100;0.68055;0.263968
600;0.858789;0.0857285
1100;1.0606;0.116079
1600;1.00867;0.0641544
2100;0.921288;0.0232291
2600;0.964735;0.0202178
3100;0.959669;0.0151517
3600;0.926304;0.0182137
4100;0.969842;0.0253252
4600;0.864425;0.0800925
5100;0.947432;0.00291449
5600;0.970477;0.0259603
6100;0.900493;0.0440243
6600;0.982525;0.0380078
7100;1.02562;0.0810997
7600;0.932558;0.0119597
8100;0.949409;0.0048914
8600;0.928125;0.0163923
9100;0.977555;0.0330382
9600;0.913476;0.0310415
10100;0.906758;0.0377596
10600;0.952953;0.00843557
11100;0.942434;0.00208311
11600;0.988138;0.0436206
12100;0.929629;0.0148882
12600;0.957553;0.013036
13100;0.956628;0.0121113
13600;0.908591;0.0359264
14100;0.941875;0.00264217
14600;0.947575;0.00305812
15100;0.925213;0.0193046
15600;0.979069;0.0345518
16100;0.970402;0.0258848
16600;0.948787;0.00426958
17100;0.940375;0.00414216
17600;0.934098;0.0104188
18100;0.972214;0.0276964
18600;0.971168;0.026651
19100;0.933529;0.0109885
19600;0.937988;0.00652948
20100;0.967377;0.0228595
20600;0.967494;0.0229769
21100;0.945028;0.00051129
21600;0.943407;0.00110992
22100;0.942739;0.00177794
22600;0.953716;0.00919854
23100;0.934756;0.00976117
23600;0.939257;0.00525998
24100;0.934293;0.010224
24600;0.945339;0.000822213
25100;0.93929;0.00522716
25600;0.930059;0.0144582
26100;0.942786;0.00173075
26600;0.930547;0.0139699
27100;0.959299;0.0147814
27600;0.982781;0.0382639
28100;0.934155;0.0103618
28600;0.945699;0.00118149
29100;0.940475;0.00404252
29600;0.918348;0.0261695
30100;0.939268;0.00524903
30600;0.93091;0.0136068
31100;0.93939;0.00512752
31600;0.963291;0.0187742
32100;0.93284;0.0116767
32600;0.966249;0.0217319
33100;0.962227;0.0177099
33600;0.944147;0.000370471
34100;0.917758;0.026759
34600;0.950297;0.00577946
35100;0.942299;0.00221785
35600;0.98068;0.0361623
36100;0.980024;0.0355064
36600;0.940072;0.00444508
37100;0.9219;0.0226176
37600;0.94765;0.0031325
38100;0.949758;0.00524108
38600;0.927633;0.0168844
39100;0.940635;0.00388188
39600;0.928759;0.0157586
40100;0.955485;0.0109675
40600;0.946352;0.00183457
41100;0.940753;0.00376452
41600;0.944636;0.000119197
42100;0.94404;0.000477001
42600;0.933645;0.0108726
43100;0.941761;0.00275576
43600;0.948354;0.00383704
44100;0.954357;0.00983943
44600;0.939516;0.00500136
45100;0.959711;0.0151934
45600;0.940446;0.0040711
46100;0.928559;0.0159583
46600;0.938416;0.00610157
47100;0.943109;0.00140807
47600;0.96915;0.0246327
48100;0.94715;0.00263311
48600;0.946208;0.0016907
49100;0.940731;0.00378668
49600;0.928307;0.01621
50100;0.945628;0.00111093
50600;0.943777;0.000739877
51100;0.951285;0.00676813
51600;0.958083;0.0135654
52100;0.955046;0.0105287
52600;0.947631;0.00311382
53100;0.952989;0.00847185
53600;0.955889;0.0113719
54100;0.961431;0.016914
54600;0.92111;0.0234071
55100;0.963038;0.0185213
55600;0.960498;0.0159809
56100;0.944832;0.000314993
56600;0.951601;0.00708411
57100;0.966765;0.0222479
57600;0.929004;0.0155131
58100;0.945942;0.00142489
58600;0.940525;0.00399178
59100;0.956421;0.0119041
59600;0.942688;0.00182887
60100;0.949566;0.00504917
60600;0.936117;0.00840063
61100;0.939913;0.00460463
61600;0.949013;0.00449586
62100;0.918358;0.0261589
62600;0.941308;0.00320942
63100;0.948794;0.004277
63600;0.951424;0.00690694
64100;0.947795;0.00327732
64600;0.940308;0.00420905
65100;0.955338;0.0108208
65600;0.928049;0.0164682
66100;0.930148;0.0143691
66600;0.943748;0.000769304
67100;0.953088;0.0085709
67600;0.93367;0.010847
68100;0.940378;0.00413966
68600;0.94557;0.00105266
69100;0.948577;0.00405938
69600;0.940365;0.00415197
70100;0.957096;0.0125793
70600;0.947839;0.00332222
71100;0.947874;0.00335688
71600;0.943563;0.000954019
72100;0.942144;0.00237344
72600;0.954403;0.00988589
73100;0.944018;0.000499115
73600;0.97512;0.0306025
74100;0.947416;0.00289906
74600;0.943933;0.000583798
75100;0.945675;0.00115796
75600;0.941607;0.00291031
76100;0.95139;0.00687239
76600;0.957618;0.0131005
77100;0.932745;0.0117722
77600;0.955551;0.0110335
78100;0.936238;0.00827923
78600;0.920016;0.0245013
79100;0.928335;0.0161823
79600;0.942901;0.00161656
80100;0.941506;0.00301146
80600;0.959307;0.0147899
81100;0.935171;0.00934601
81600;0.933611;0.0109062
82100;0.950898;0.00638113
82600;0.940434;0.00408297
83100;0.931032;0.0134852
83600;0.959072;0.0145552
84100;0.950249;0.00573201
84600;0.935669;0.00884779
85100;0.9328;0.0117177
85600;0.94098;0.00353709
86100;0.9415;0.00301696
86600;0.946954;0.00243682
87100;0.931249;0.0132683
87600;0.962447;0.0179299
88100;0.950584;0.00606714
88600;0.950816;0.00629893
89100;0.945917;0.00139972
89600;0.944002;0.000515146
90100;0.946748;0.0022311
90600;0.955259;0.0107417
91100;0.948095;0.00357783
91600;0.945467;0.000949922
92100;0.935478;0.0090387
92600;0.945231;0.000713808
93100;0.942348;0.00216966
93600;0.946246;0.00172917
94100;0.944215;0.000302515
94600;0.932236;0.0122815
95100;0.946349;0.00183205
95600;0.938552;0.00596496
96100;0.942673;0.00184432
96600;0.95128;0.00676262
97100;0.948184;0.00366641
97600;0.949303;0.00478564
98100;0.938221;0.00629638
98600;0.963142;0.018625
99100;0.925614;0.0189031
99600;0.940392;0.00412504
