scale;area;area_diff
1;0.936738;0.00777966
1.1;0.948138;0.00362032
1.2;0.94411;0.000407563
1.3;0.942153;0.00236463
1.4;0.943489;0.00102784
1.5;0.946895;0.00237754
1.6;0.942833;0.00168466
1.7;0.942541;0.00197613
1.8;0.94559;0.00107292
1.9;0.950003;0.005486
2;0.944836;0.000318875
2.1;0.935824;0.00869286
2.2;0.944679;0.000161765
2.3;0.928005;0.0165125
2.4;0.948968;0.00445039
2.5;0.945903;0.00138588
2.6;0.945471;0.000954314
2.7;0.943834;0.000683186
2.8;0.919765;0.0247518
2.9;0.946245;0.0017279
3;0.945517;0.000999424
3.1;0.948779;0.00426169
3.2;0.952937;0.00842014
3.3;0.942703;0.00181455
3.4;0.923491;0.0210259
3.5;0.940979;0.00353838
3.6;0.940708;0.00380953
3.7;0.960687;0.01617
3.8;0.955619;0.0111015
3.9;0.941068;0.00344904
4;0.933792;0.0107255
4.1;0.950504;0.00598649
4.2;0.958162;0.0136448
4.3;0.929012;0.0155057
4.4;0.961807;0.0172898
4.5;0.955229;0.0107118
4.6;0.937262;0.00725506
4.7;0.94302;0.00149732
4.8;0.942808;0.00170955
4.9;0.958691;0.0141736
5;0.949367;0.00484939
5.1;0.945997;0.0014798
5.2;0.962428;0.0179105
5.3;0.944908;0.000390819
5.4;0.933557;0.01096
5.5;0.961101;0.016584
5.6;0.928074;0.0164436
5.7;0.960567;0.0160502
5.8;0.92883;0.0156876
5.9;0.924246;0.0202715
6;0.943592;0.000925559
6.1;0.931172;0.0133452
6.2;0.942519;0.0019981
6.3;0.929565;0.0149526
6.4;0.976432;0.031915
6.5;0.981717;0.0371998
6.6;0.957948;0.0134313
6.7;0.962321;0.0178037
6.8;0.939113;0.00540396
6.9;0.951663;0.00714537
7;0.930856;0.0136616
7.1;0.956171;0.011654
7.2;0.960111;0.0155943
7.3;0.929458;0.015059
7.4;0.934867;0.00965059
7.5;0.960304;0.0157868
7.6;0.983275;0.0387579
7.7;0.943608;0.000908739
7.8;0.931013;0.0135044
7.9;0.931981;0.0125361
8;0.941414;0.00310332
8.1;0.956804;0.0122868
8.2;0.960309;0.0157922
8.3;0.945028;0.000511276
8.4;0.961763;0.0172463
8.5;0.97637;0.0318526
8.6;0.98294;0.038423
8.7;0.947799;0.0032814
8.8;0.953149;0.00863169
8.9;0.976475;0.0319574
9;0.959166;0.0146493
9.1;0.962083;0.0175655
9.2;0.946314;0.00179664
9.3;0.952703;0.00818574
9.4;0.939798;0.00471875
9.5;0.97043;0.0259124
9.6;0.946168;0.00165042
9.7;0.968726;0.0242092
9.8;0.931847;0.0126707
9.9;0.990028;0.0455112
